name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
BSAT-2A ,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,,2001-03-08,10,Direct-to-home digital high-definition television for Japan.,109.94,"""35,778""","""35,794""",0.00019,0.07,1436.1
BSAT-2C ,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,,2003-06-11,10,Backup to BSAT-2A; direct digital broadcasts to homes in Japan and neighboring countries through its Ku-band transponders.,109.89,"""35,766""","""35,806""",0.000474,0.06,1436.08
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,,2007-08-14,13,Twelve 130W Ku-band transponders; HD TV.,109.91,"""35,778""","""35,794""",0.00019,0.03,1436.1
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,,2010-10-28,15,Broadcast 130W Ku-band transponders.,110,"""33,066""","""35,725""",0.0326,0.07,1365.61
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,GEO,,2011-08-06,15,Co-owned by two companies.,110,"""35,784""","""35,787""",0.0000356,0.05,1436.04
MaSat 1  (Magyar Satellite/Oscar 72) ,Hungary,Budapest University of Technology and Economics,Civil,Technology Development,LEO,,2012-02-13,,"""1U Cubesat from Budapest University of Technology and Economics to demonstrate various spacecraft avionics, including a power conditioning system, transceiver and on-board data handling.""",0,310,"""1,442""",0.0781,69.4,102.48
IGS-1A (Information Gathering Satellite 1A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,2003-03-28,5,Japan's first military optical reconnaissance satellites; primary mission the monitoring of N. Korea. Launch failure in 11/03 of second half of system cripples it to a large degree.,0,485,491,0.000437,97.3,94.36
IGS-3A (Information Gathering Satellite 3A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,2006-09-11,5,Optical reconnaissance.,0,484,492,0.000583,97.3,94.37
"""IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,2009-11-28,5,Optical reconnaissance.,0,484,492,0.000583,97.31,94.37
"""IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,2011-09-23,5,Radar reconnaissance.,0,588,591,0.000216,97.69,96.47
"""IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,2011-12-12,5,Radar reconnaissance.,0,,,0,,
GALEX (Galaxy Evolution Explorer),USA,California Institute of Technology/NASA,Government/Civil,Space Science,LEO,Intermediate,2003-04-28,2,"""Conduct several sky surveys, including extra-gallactic. Nuclear-powered.""",0,693,699,0.000425,29,98.7
MOST (Microvariability & Oscillations of STars),Canada,Canadian Space Agency,Government,Astrophysics,LEO,Sun-Synchronous,2003-06-30,1,"""Canada's space telescope, dubbed the """"Humble Telescope""""; minisatellite; monitor brightness variations in stars.""",0,831,855,0.00166,98.7,101.4
Scisat-1 (Atmospheric Chemistry Experiment),Canada,Canadian Space Agency,Government,Space Science,LEO,Intermediate,2003-08-12,,ACE experiments in space.,0,641,654,0.000926,73.9,97.67
X-Sat,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,LEO,Sun-Synchronous,2011-04-20,3,"""Signapore's first national satellite; multi-spectral camera, will demonstrate space-based remote sensing and image processing technologies.""",0,803,822,0.00132,98.77,101.14
PARASOL (Polarization and Anistropy of Reflectances for Atmospheric Science coupled with Observations from LIDAR),France,Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,Sun-Synchronous,2004-12-18,2,Improve our knowledge of the radiative and microphysical properties of clouds and aerosols. Removed from A-Train formation in 1/10.,0,705,705,0,98.21,
"""CoRoT (Convection, Rotation des Ã„toiles et Transits des PlanÂètes Extrasolaires)""",Multinational,Centre National d'Etudes Spatiales (CNES),Government,Space Science,LEO,Sun-Synchronous,2006-12-27,2,"""Aims to be a pioneer mission in the discovery of telluric extrasolar planets, bodies with properties comparable to those of the rocky planets of the solar system.""",0,895,906,0.000756,90,103
Picard,France,Centre National d'Etudes Spatiales (CNES),Government,Solar Physics,LEO,Sun-Synchronous,2010-06-15,2,"""Simultaneous measurement of the absolute total and spectral solar irradiance, diameter and solar shape, studying the Sun's interior through helioseismology.""",0,727,729,0.000141,98.29,99.35
Helios 1A ,France/Italy/Spain,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,1995-07-07,5,Optical reconnaissance; cannot see through clouds or at night.,0,679,681,0.000142,98,98.35
Helios 2A ,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,2004-12-18,5,Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).,0,681,683,0.000142,98.1,98
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,2009-12-18,5,"""Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).""",0,679,682,0.000213,98.1,98.37
SMOS (Soil Moisture and Ocean Salinity satellite),ESA,Centre National d'Etudes Spatiales (CNES)/European Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,2009-11-02,3,Mission to measure sea surface salinity and soil moisture on a global scale.,0,759,561,-0.0141,98.45,100.03
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,LEO,Sun-Synchronous,2006-04-28,3,,0,701,704,0.000212,98.23,98.83
Alsat-2A (Algeria Satellite 2A),Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,LEO,Sun-Synchronous,2010-07-12,5,"""The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.""",0,672,674,0.000142,98.23,98.21
SSOT (Sistema Satelital para la ObservaciÃ‘n de la Tierra),Chile,Chilean Air Force,Government/Military,Earth Observation,LEO,,2011-12-17,,"""Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management.""",0,606,612,0.00043,97.99,96.86
Tianhui-1,China (PR),China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,,2010-08-24,,"""Mapping  and land resource sruveys to promote economic development; 3-D survey camera, ground resolution of 5m; multi-spectrum at 10m.""",0,487,504,0.00124,97.35,94.53
Ziyuan 3 (ZY-3),China (PR),China Centre for Resources Satellite Data and Application (CRESDA),Civil,Earth Observation,LEO,Sun-Synchronous,2012-01-09,4,Land survey satellite.,0,494,503,0.000655,97.48,94.58
"""Sinosat-1 (Intelsat APR-1, Chinasat 5B)""",China (PR),China Direct Broadcast Satellite co.,Commercial,Communications,GEO,,1998-07-18,17,"""11 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.""",110.55,"""35,770""","""35,803""",0.000391,0.03,1436.13
"""Sinosat-6 (Chinasat-6A, XN-6)""",China (PR),China Direct Broadcast Satellite co.,Commercial,Communications,GEO,,2010-09-04,15,"""Television and radio across China. 1 S-band, 24 C-band, and 8 Ku-band transponders. Backup for Sinosat 3.""",0,"""35,794""","""35,796""",0.0000237,0.3,1436.1
Fengyun 1D (FY-1D),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,2002-05-15,3,"""Polar-orbiting satellite; carries Multichannel Visible and Infrared Scan Radiometer (MVISR); means """"wind and cloud.""""""",0,851,871,0.00138,98.8,102.17
Fengyun 2D (FY-2D),China (PR),China Meteorological Administration,Government,Earth Science,GEO,,2006-12-08,3,Meteorological; better weather forecasting for the Beijing Olympics.,86.51,"""35,777""","""35,791""",0.000166,0.77,1436
Fengyun 3A (FY-3A),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,2008-05-27,,Meteorological; better weather forecasting for the Beijing Olympics.,0,825,829,0.000278,98.8,101.44
Fengyun 2E (FY-2E),China (PR),China Meteorological Administration,Government,Earth Science,GEO,,2008-12-23,3,Meteorological; weather forecasting and disaster reduction.,123.59,"""35,767""","""35,803""",0.000427,2.61,1436.04
Fengyun 3B (FY-3B),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,2010-11-04,,Meteorological.,0,825,828,0.000208,98.8,101.44
Fengyun 2F (FY-2F),China (PR),China Meteorological Administration,Government,Earth Science,GEO,,2012-01-12,3,Meteorological; weather forecasting and disaster reduction.,105,"""35,760""","""35,816""",0.000664,2.19,1436.19
"""Chinastar-1 (ChinaSat-10, Zhongwei 1, Chinasat 5A)""",China (PR),China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,GEO,,1998-05-30,15,"""24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.""",87.68,"""35,778""","""35,795""",0.000202,0.02,1436.12
Zhongxing 22A (Chinastar 22A),China (PR),China Satellite Communication Corp. (China Satcom),Military,Communications,GEO,,2006-09-12,,"""Voice and video transmissions, especially during Beijing Olympics in 2008.""",103.28,"""35,767""","""35,807""",0.000474,0.07,1436.1
ChinaSat 6B (Zhong Xing 6B),China (PR),China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,GEO,,2007-07-06,15,38 C-band; voice and video services to Asia-Pacific and Oceania.,115.58,"""35,777""","""35,797""",0.000237,0.05,1436.1
"""Zhongxing 9 (Chinasat 9, Chinastar 9)""",China (PR),China Satellite Communication Corp. (China Satcom),Government,Communications,GEO,,2008-06-09,,"""Voice and video transmissions, especially during Beijing Olympics in 2008.""",92.22,"""35,759""","""35,812""",0.000629,0.03,1436.1
Zhongxing 10 (Chinasat 10),China (PR),China Satellite Communication Corp. (China Satcom),Government,Communications,GEO,,2011-06-20,15,Will replace Chinasat 5B. C-band and Ku-band transponders.,110.5,"""35,774""","""35,799""",0.000297,0.04,1436.1
"""Chuangxin 1 (Innovation 1, Chuang Xin 1, CZ-1)""",China (PR),Chinese Academy of Sciences,Government,Communications,LEO,Sun-Synchronous,2003-10-21,,Prototype of advanced telecommunications satellite for LEO.,0,686,758,0.00508,98.5,99.23
Chuangxin 2 (Innovation 2),China (PR),Chinese Academy of Sciences,Government,Earth Observation,LEO,Sun-Synchronous,2008-11-05,,Collect and relay hydrological and meteorological data and data for disaster relief.,0,786,805,0.00133,98.5,100.78
Chuangxin 3 (Innovation 3),China (PR),Chinese Academy of Sciences,Government,Earth Observation,LEO,Sun-Synchronous,2011-11-20,,Collect and relay hydrological and meteorological data and data for disaster relief.,0,787,801,0.000977,98.4,100.75
"""Zhangguo Ziyuan 2B (ZY-2B, JB-3B)""",China (PR),Chinese Academy of Space Technology,Military,Remote Sensing,LEO,Sun-Synchronous,2002-10-27,3,"""Officially intended for environment monitoring and protection, city planning, crops yield estimate, disaster prevention and mitigation, space science testing.""",0,470,483,0.000949,97.4,94.13
"""Zhangguo Ziyuan 2C (ZY-2C, JB-3C)""",China (PR),Chinese Academy of Space Technology,Military,Reconnaissance,LEO,Sun-Synchronous,2004-11-04,3,Third digital imaging spacecraft launched by Chinese government for reconnaissance purposes.,0,479,503,0.00175,97.3,94.14
"""Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Remote Sensing,LEO,Sun-Synchronous,2004-04-18,,"""Stereo mapping; photographic surveys of China's land resources, monitor environment, mapping.""",0,599,613,0.001,97.7,96.82
"""Shijian 6A (SJ-6A, Dong Fang Hong 60)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2004-09-08,2,Monitor space radiation.,0,588,606,0.00129,97.7,96.63
Shijian 6B (SJ-6B),China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2004-09-08,2,Monitor space radiation.,0,593,602,0.000646,97.7,96.64
"""Shijian 7 (SJ7, Dong Fang Hong 65)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2005-07-05,3,Monitor space environment; conduct several experiments.,0,555,570,0.00108,97.58,95.91
Shijian 6C (SJ-6-02A),China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2006-10-23,,Radiation detectors and other space environment-related instruments.,0,593,600,0.000502,97.7,96.62
Shijian 6D (SJ-6-02B),China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2006-10-23,,Radiation detectors and other space environment-related instruments.,0,596,601,0.000359,97.7,96.66
"""TianLian 1 (TL-1-01, CTDRS)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,2008-04-25,,"""China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.""",77.08,"""35,769""","""35,813""",0.000522,0.06,1436.08
"""Shijian 6E (SJ6-03A, SJ-6E)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2008-10-25,3,Monitor space environment; conduct several experiments.,0,585,602,0.00122,97.74,96.55
"""Shijian 6F (SJ6-03B, SJ-6F)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2008-10-25,3,Monitor space environment; conduct several experiments.,0,583,604,0.00151,97.74,96.55
"""Shiyan 3 (SY3, Experimental Satellite 3)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Remote Sensing/Research,LEO,Sun-Synchronous,2008-11-05,,Experiments on new technologies in atmospheric exploration.,0,788,803,0.00105,98.4,100.78
Shijian 11-01 (SJ-11-01),China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,LEO,Sun-Synchronous,2009-11-12,3,Monitor space environment; conduct several experiments.,0,690,704,0.000991,98.28,98.7
Shijian 12 (SJ-12),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,Sun-Synchronous,2010-06-15,,Conduct various technology and environmental experiments.,0,579,601,0.00158,97.65,96.48
Shijian 6G (SJ6-04A),China (PR),Chinese Academy of Space Technology (CAST),Government,Reconnaissance,LEO,Sun-Synchronous,2010-10-06,,Possible reconnaissance function.,0,585,605,0.00144,97.75,96.57
Shijian 6H (SJ6_04B),China (PR),Chinese Academy of Space Technology (CAST),Government,Reconnaissance,LEO,Sun-Synchronous,2010-10-06,,Possible reconnaissance function.,0,588,605,0.00122,97.76,96.61
Shijian 11-03 (SJ-11-03),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,Sun-Synchronous,2011-07-06,,Conduct various technology and environmental experiments.,0,690,704,0.000991,98.23,98.71
"""TianLian 2 (TL-1-02, CTDRS)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,2011-07-11,,Data relay satellite. Will cover Shenzhou missions and China's space station.,176.72,"""37,778""","""37,794""",0.000181,1,1436.1
Shijian 11-02 (SJ-11-02),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,Sun-Synchronous,2011-07-29,,Conduct various technology and environmental experiments.,0,689,705,0.00113,98.11,98.71
"""Shiyan 4 (SY4, Experimental Satellite 4)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Remote Sensing/Research,LEO,Sun-Synchronous,2011-11-20,,Study the environment and test new space technologies.,0,785,803,0.00126,98.4,100.74
Beidou 1B (BNTS-1B),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2000-12-20,,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces.,80.36,"""35,764""","""35,809""",0.000534,1.52,1436.1
Beidou 1C (Dong Fang Hong 54),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2003-05-24,,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces; weather monitoring and telecommunications; final constellation of 4 satellites.,110.55,"""35,769""","""35,802""",0.000391,0.14,1436.08
Compass M1 (Beidou M1),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,MEO,,2007-04-14,8,Part of Compass constellation; first one in MEO orbit.,0,"""21,519""","""21,545""",0.000466,55.26,773.39
Compass G-2 (Beidou G2),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2009-04-14,8,Part of Compass constellation.,69.8,"""35,555""","""35,976""",0.005,0.04,"""1,434.00"""
Compass G-1 (Beidou G1),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2010-01-16,,Part of Compass constellation.,144.5,"""35,768""","""35,803""",0.000415,1.78,1436.05
Compass G-3 (Beidou G3),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2010-06-02,,Part of Compass constellation.,84.7,"""35,774""","""35,797""",0.000273,1.83,1436.05
Compass G-5 (Beidou IGSO-1),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2010-07-31,8,Part of Compass constellation.,118,"""35,670""","""35,893""",0.00265,55.09,1435.82
Compass G-4 (Beidou G4),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2010-10-31,,Part of Compass constellation.,160,"""35,764""","""35,809""",0.000534,1.43,1436.1
Compass G-7 (Beidou IGSO-2),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2010-12-17,8,Part of Compass constellation.,118,"""35,717""","""35,817""",0.00119,55.23,1436.12
Compass G-8 (Beidou IGSO-3),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2011-04-09,,Part of Compass constellation.,118,"""35,693""","""37,872""",0.0252,96.4,1435.93
Compass G-9 (Beidou ISGO-4),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2011-07-26,8,Part of Compass constellation.,,"""35,708""","""35,879""",0.00203,55.2,1435.1
Compass G-10 (Beidou ISGO-5),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2011-12-01,8,Part of Compass constellation.,104.21,"""35,708""","""35,864""",0.00185,55.16,1436.08
Compass G-11 (Beidou G5),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,,2012-02-24,8,Part of Compass constellation.,59,"""35,776""","""35,799""",0.000273,1.87,1436.15
Ciel-2,Canada,Ciel Satellite Group,Commercial,Communications,GEO,,2008-12-10,15,Digital television; 32 Ku-band transponders.,-129,"""37,782""","""35,788""",-0.0231,0.05,1436.05
Maroc Tubsat ,Morocco/Germany,CTRS Morocco/Institut fÃ™r Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,LEO,Sun-Synchronous,2001-12-10,2,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,0,985,"""1,014""",0.00197,99.6,105.1
Ã¸rsted ,Denmark,Danish Meteorological Institute (DMI),Government,Earth Science,LEO,Sun-Synchronous,1999-02-23,5,Magnetometer and a star camera for measurements of the geomagnetic field.,0,646,865,0.0154,96.4,99.93
"""MITEX (Micro-Satellite Technology Experiment, USA 187)""",USA,Defense Advanced Research Projects Agency (DARPA)/Navy Research Laboratory (NRL),Military,Technology Development,GEO,,2006-06-21,1,"""""""Observers speculate that the small satellites are prototypes for inspector spacecraft which could rendezvous with and take closeup images of other geostationary satellites.""""""",0,"""35,800""","""35,800""",0,0,1346
"""MITEX (Micro-Satellite Technology Experiment, USA 188)""",USA,Defense Advanced Research Projects Agency (DARPA)/Navy Research Laboratory (NRL),Military,Technology Development,GEO,,2006-06-21,1,"""""""Observers speculate that the small satellites are prototypes for inspector spacecraft which could rendezvous with and take closeup images of other geostationary satellites.""""""",0,"""35,800""","""35,800""",0,0,1346
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,,2005-10-13,12,Military communications; designed to integrate with UK's Skynet and Italy's Sicral.,47.05,"""35,778""","""35,792""",0.000166,0,1436.06
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,,2006-08-11,12,Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.,-5.17,"""35,772""","""35,801""",0.000344,0.03,1436.09
TecSAR (Polaris),Israel,Defense Ministry,Military,Reconnaissance,LEO,,2008-01-21,,Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).,0,405,580,0.0128,41.03,94.5
Deimos 1,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,2009-07-29,5,Part of international Disaster Monitoring Constellation.,0,639,672,0.00235,98.13,97.83
DLR Tubsat ,Germany,Deutsches Zentrum fÃ™r Luft- und Raumfahrt,Government,Earth Science,LEO,Sun-Synchronous,1999-05-26,1,Transmits image of its own view; not currently used for scientific mission but operational.,0,713,732,0.00134,98.2,99.24
"""XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)""",China (PR),DFH Satellite/AMSAT-China,Civil,Communications,LEO,Sun-Synchronous,2009-12-15,,China's first amateur satellite.,0,"""1,192""","""2,206""",0.0628,100.5,109.4
ELISA-E12 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,2011-12-17,,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,0,675,692,0.00121,98.21,98.43
ELISA-E24 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,2011-12-17,,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,0,677,692,0.00106,98.21,98.46
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,2011-12-17,,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,0,675,692,0.00121,98.21,98.43
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,2011-12-17,,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,0,677,692,0.00106,98.21,98.45
Quickbird 2,USA,DigitalGlobe Corporation,Commercial,Earth Observation,LEO,Sun-Synchronous,2001-10-18,10,High quality earth imagery and geo-spatial information products; highest resolution commercial satellite in orbit. Orbit raised in April 2011 to extend life.,0,482,482,0,97.2,93.85
Worldview 1,USA,DigitalGlobe Corporation,Military/Commercial,Earth Observation,LEO,Sun-Synchronous,2007-09-18,7,"""Earth-imaging satellite; images with 0.5 meter resolution of about 290,000 square miles of Earth's surface.""",0,493,494,0.0000728,97.5,95
Worldview 2,USA,DigitalGlobe Corporation,Military/Commercial,Earth Observation,LEO,Sun-Synchronous,2009-10-08,,Will provide earth imaging  in eight color bands; 0.5 m resolution for panchromatic images and 1.8 m for multi-spectral.,0,766,769,0.00021,98.58,100.19
"""DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,1995-03-24,5,Near-polar orbits; investigate Earth's environment. SSM/1 sensor to track sea ice has completely failed.,0,845,855,0.000693,98.8,101.93
"""DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,1997-04-04,5,Near-polar orbits; investigate Earth's environment.,0,842,855,0.0009,98.9,101.9
"""DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,1999-12-12,5,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.,0,837,851,0.00097,98.9,101.8
"""DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,2003-10-18,5,Near-polar orbits; investigate Earth's environment.,0,843,852,0.000623,98.9,101.87
"""DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 191)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,2006-11-04,5,Near-polar orbits; investigate Earth's environment.,0,842,855,0.0009,98.79,101.89
"""DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)""",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,2009-10-18,5,Near-polar orbits; investigate Earth's environment.,0,842,859,0.00118,98.93,101.94
"""Navstar GPS II-10 (Navstar SVN 23, PRN 32,  USA 66)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1990-11-26,7,Currently unused although usable.,0,"""19,781""","""20,582""",0.0151,55.78,717.94
"""Navstar GPS II-14 (Navstar SVN 26, PRN 26, USA 83)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1992-07-07,7,,0,"""19,959""","""20,403""",0.00836,55,717.93
"""Navstar GPS II-15 (Navstar SVN 27, PRN 27, USA 84)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1992-09-09,7,,0,"""19,914""","""20,451""",0.0101,54.7,717.99
"""Navstar GPS II-21 (Navstar SVN 39, PRN 09, USA 92)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1993-06-26,7,,0,"""20,120""","""20,244""",0.00234,54.7,717.97
"""Navstar GPS II-23 (Navstar SVN 34, PRN 04, USA 96)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1993-10-26,7,,0,"""20,104""","""20,260""",0.00294,55,717.97
"""Navstar GPS II-24 (Navstar SVN 36, PRN 06, USA 100)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1994-03-10,7,,0,"""19,986""","""20,315""",0.0062,54.9,716.69
"""Navstar GPS II-25 (Navstar SVN 33, PRN 03, USA 117)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1996-03-28,7,,0,"""20,080""","""20,284""",0.00384,54.7,717.97
"""Navstar GPS II-26 (Navstar SVN 40, PRN 10, USA 126)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1996-07-16,7,,0,"""20,134""","""20,227""",0.00175,55,717.91
"""Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1997-07-23,10,,0,"""20,123""","""20,247""",0.00233,54.9,718.09
"""Navstar GPS II-28 (Navstar SVN 38, PRN 08, USA 135)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1997-11-06,7,,0,"""19,912""","""20,449""",0.0101,54.9,717.91
"""Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,1999-10-07,10,,0,"""20,096""","""20,268""",0.00324,53,717.97
