name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
Echostar 15,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2010-07-10,15,Direct-to-home over CONUS.,-61.5,"""35,789""","""35,803""",0.000166,0.07,1436.57
"""Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)""",USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2003-08-08,13,"""24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.""",-121.02,"""35,775""","""35,797""",0.000261,0.01,1436.08
"""Grace 1 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,2002-03-17,5,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",0,482,506,0.00175,89,94.49
"""Grace 2 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,2002-03-17,5,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",0,482,507,0.00182,89,94.5
Horizons 2,USA/Japan,"""Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)""",Commercial,Communications,GEO,,2007-12-21,15,"""Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.""",85,"""35,777""","""35,796""",0.000225,0,1436.1
EROS A1 (Earth Resources Observation Satellite),Israel,"""ImageSat International, NV/Ministry of Defense""",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,2000-12-05,6,"""High resolution imaging satellite; obtain images (with terrain width of 12.6 km) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km radius.""",0,491,502,0.000801,97.3,94.55
EROS B1 (Earth Resources Observation Satellite),Israel,"""ImageSat International, NV/Ministry of Defense""",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,2006-04-25,10,"""High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km around Israel.""",0,503,516,0.000945,97.33,94.82
INMARSAT 2 F2 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1991-03-08,10,"""Leased traffic; broadcasting, business services, mobile communciations; spare satellite co-located with Inmarsat 3s.""",-98.14,"""35,770""","""35,802""",0.00038,5.47,1436.09
INMARSAT 2 F4 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1992-04-15,10,"""Broadcasting, business services, mobile communications; leased traffic;  spare satellite co-located with Inmarsat 3s.""",-108.91,"""35,779""","""35,796""",0.000202,4.12,1436.17
INMARSAT 3 F1 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1996-04-03,13,"""Broadcasting, business services, mobile communications; leased traffic; demand-assigned L-band transponders; Indian Ocean region.""",64.56,"""35,764""","""35,808""",0.000522,0.08,1436.08
INMARSAT 3 F2 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1996-09-06,13,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region.""",-15.52,"""35,763""","""35,809""",0.000546,0.08,1436.1
INMARSAT 3 F3 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1996-12-18,13,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.""",178.2,"""35,761""","""35,810""",0.000581,0.09,1436.07
INMARSAT 3 F4 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1997-06-03,13,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region-West.""",-125.39,"""35,609""","""35,642""",0.000393,0.06,1427.91
INMARSAT 3 F5 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,1998-02-04,13,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.""",25.07,"""35,769""","""35,803""",0.000403,0.04,1436.07
INMARSAT 4 F1,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,2005-03-11,15,Nearly the size of a double-decker bus; more than 600 channels.,63.96,"""35,772""","""35,799""",0.00032,2.3,1436.08
INMARSAT 4 F2,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,2005-11-08,15,Nearly the size of a double-decker bus; more than 600 channels.,-52.76,"""35,773""","""35,800""",0.00032,2.33,1436.11
INMARSAT 4 F3,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,,2008-08-18,15,"""200 spot-beams to relay messages from mobile phones based on land, sea, or air.""",-97.65,"""35,775""","""35,798""",0.000273,3.01,1436.1
Akebono (EXOS-D),Japan,"""Institute of Space and Aeronautical Science, University of Tokyo""",Civil,Space Physics,Elliptical,,1989-02-21,1,Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.,0,264,"""5,732""",0.292,75.1,150.4
"""Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1997-05-24,13,"""24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean.""",-93.09,"""35,771""","""35,801""",0.000356,0.03,1436.08
"""Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1999-02-15,13,"""24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean; has experienced several anomalies and brief shutdowns.""",-93.01,"""35,778""","""35,795""",0.000202,0.01,1436.11
Intelsat 602 (Intelsat 6 F-2),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1989-10-27,13,Inclined orbit; Indian Ocean region; C-band and Ku-band broadcasting.,178.04,"""35,799""","""35,792""",-0.000083,6.51,1436.08
Intelsat 701 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1993-10-22,10,"""42 C-band, 24 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Pacific Ocean region. """,179.94,"""35,775""","""35,797""",0.000261,0.01,1436.08
Intelsat 702 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1994-06-17,15,"""42 C-band, 24 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Pacific Ocean region. """,54.92,"""35,776""","""35,796""",0.000237,0.02,1436.1
Intelsat 706 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1995-05-17,15,"""42 C-band, 36 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks Atlantic Ocean region. """,50.3,"""35,776""","""35,795""",0.000225,0.01,1436.07
Intelsat 24 (Amos 1),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1996-05-16,10,Sold to Intelsat in 2009.,47.3,"""35,770""","""35,800""",0.000356,1.38,1436.04
Intelsat 709 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1996-06-15,15,"""42 C-band, 24 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Atlantic Ocean region. """,85.18,"""35,775""","""35,798""",0.000273,0,1436.11
"""Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1997-02-16,12,"""Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010.""",50,"""35,779""","""35,794""",0.000178,0.02,1436.1
